,dataset,fold,roc_auc,accuracy,models
0,MiniBooNE,1,0.5,0.7193818713000691,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='c7192698-2780-4b29-99b1-d44bbc49ac5d')"
1,MiniBooNE,2,0.5,0.7193818713000691,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='e180634f-c2ce-4768-b8fd-4d94d60ef1fb')"
2,MiniBooNE,3,0.5,0.7193818713000691,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='e7999e73-332e-4d5b-829b-091113a1d89f')"
3,MiniBooNE,4,0.5,0.7193818713000691,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='f954ca51-61df-4b7f-996f-8ddf9ee7db7b')"
4,MiniBooNE,5,0.5,0.7194371828386898,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='0c83e09b-3221-40a5-b709-e74cd4252045')"
5,MiniBooNE,6,0.5,0.7193602952483469,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='e08655dd-3639-4b27-89bf-cb3f5ed654ce')"
6,MiniBooNE,7,0.5,0.7193602952483469,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='dc99c607-f2d4-4d14-bc10-c45244342901')"
7,MiniBooNE,8,0.5,0.7193602952483469,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='bd95f4e8-c68d-4e38-bf77-6efdd23b4a59')"
8,MiniBooNE,9,0.5,0.7193602952483469,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='e382c85f-929f-4ec5-856a-31213cb39111')"
9,MiniBooNE,10,0.5,0.7193602952483469,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='0a754fe2-261e-4d51-bebd-0feba5438874')"
10,sylvine,1,0.9755593385214008,0.9259259259259259,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='1300850f-23ac-44d4-ab7d-9940b001ead5')"
11,sylvine,2,0.9823990758754864,0.9473684210526315,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='20080eaf-cada-4d06-a591-2be101f01196')"
12,sylvine,3,0.9862749270428015,0.9395711500974658,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='d894490a-ec41-4396-aa6c-49eee72b6a4d')"
